a	1	1
b	1	1
c	0	1
d	0	2
e	0	2
f	1	1
g	0	2
h	1	1
i	2	0
j	1	1
k	3	0
l	1	0
m	1	2
n	1	1
o	0	1
p	1	1
q	1	1
r	1	1
s	0	2
t	2	0
u	0	1
v	0	1
w	0	2
x	2	0
y	0	2
z	1	1
A	1	1
B	1	2
C	0	1
D	1	1
E	2	1
F	3	0
G	0	2
H	3	0
I	1	0
J	1	1
K	3	0
L	0	1
M	2	1
N	1	1
O	0	1
P	1	1
Q	1	1
R	2	1
S	0	2
T	2	0
U	0	1
V	0	1
W	0	2
X	2	0
Y	2	0
Z	1	1
(	0	1
)	0	1
,	1	0
.	1	0
!	2	0
?	1	1
'	1	0
 	0	0
